gid,handle,id,remote,type,variants,vendor
gid://shopify/Product/8394314842409,mango-german-opioro-x5,8394314842409,False,fruits,"[{'id': 45457812750633, 'price': 270000, 'name': 'Mango - German (Opioro) x5', 'public_title': None, 'sku': 'aspar070'}]",Generic
gid://shopify/Product/8403801964841,carrot-1-kg,8403801964841,False,vegetables,"[{'id': 45493486453033, 'price': 385000, 'name': 'Carrot 1 kg', 'public_title': None, 'sku': 'spmt1066'}]",Generic
gid://shopify/Product/8391583203625,beetroot-1-kg,8391583203625,False,buy-in-bulk,"[{'id': 45444201513257, 'price': 465000, 'name': 'Beetroot ~1 kg', 'public_title': None, 'sku': 'MILE172'}]",Beetroot
gid://shopify/Product/8403816481065,broccoli,8403816481065,False,vegetables,"[{'id': 45493520400681, 'price': 398000, 'name': 'Broccoli', 'public_title': None, 'sku': 'MILE275'}]",Generic
gid://shopify/Product/9809082908969,agege-bread-medium,9809082908969,False,bread,"[{'id': 50978045526313, 'price': 70000, 'name': 'Agege Bread - Medium', 'public_title': None, 'sku': 'brcn13y'}]",Generic
gid://shopify/Product/9472813957417,tomatoes-quarter-crate-firm,9472813957417,False,vegetables,"[{'id': 49226131439913, 'price': 2250000, 'name': 'Tomatoes - Quarter Crate (Firm)', 'public_title': None, 'sku': 'sprnw1142s'}]",Generic
gid://shopify/Product/8403799703849,spinach-1-kg,8403799703849,False,vegetables,"[{'id': 45493482619177, 'price': 495000, 'name': 'Spinach ~1 kg', 'public_title': None, 'sku': 'spwxyz222'}]",Generic
gid://shopify/Product/8392897888553,funtuna-eggs-x30,8392897888553,False,eggs,"[{'id': 45449888661801, 'price': 895000, 'name': 'Funtuna Eggs x30', 'public_title': None, 'sku': 'spmex102'}]",Funtuna
gid://shopify/Product/8391362904361,lebanese-breadshawarma-bread,8391362904361,False,bread,"[{'id': 45443799023913, 'price': 160000, 'name': 'Lebanese Bread/Shawarma Bread', 'public_title': None, 'sku': 'spwxyz885'}]",Generic
gid://shopify/Product/8403805897001,cabbage-white,8403805897001,False,vegetables,"[{'id': 45493496512809, 'price': 215000, 'name': 'Cabbage - White', 'public_title': None, 'sku': 'omwpxyz16'}]",Generic
gid://shopify/Product/8392897200425,funtuna-eggs-x15,8392897200425,False,eggs,"[{'id': 45449882370345, 'price': 487000, 'name': 'Funtuna Eggs x15', 'public_title': None, 'sku': 'spdppr2774'}]",Funtuna
gid://shopify/Product/8403803865385,pepper-red-x3,8403803865385,False,vegetables,"[{'id': 45493491073321, 'price': 430000, 'name': 'Pepper - Red x3', 'public_title': None, 'sku': 'oyingbo020'}]",Generic
